TAZ,longitude_center,latitude_center,TAZ12_TEXT,RSA,CAA,ACRES,Area_SQMI
417,-117.80654635,33.83586963,0417,42,28,113.610735,0.17751816
418,-117.8283076,33.83153282,0418,42,28,355.881253,0.55606377
419,-117.84208702,33.83304483,0419,42,28,162.075777,0.25324747
420,-117.85418541,33.83251493,0420,42,28,219.17655,0.34246207
421,-117.8650107,33.8236989,0421,42,26,272.53094,0.42583131
422,-117.81033612,33.83159616,0422,42,28,127.325504,0.19894549
423,-117.7855865,33.82800572,0423,41,29,511.027696,0.79847106
424,-117.8142992,33.82699395,0424,42,30,235.281508,0.36762845
425,-117.83458566,33.82716917,0425,42,28,72.065623,0.11260285
426,-117.80381923,33.82370365,0426,42,30,499.142144,0.77990888
427,-117.84479904,33.82646653,0427,42,28,172.764571,0.26994458
428,-117.83804966,33.82653248,0428,42,28,74.596232,0.11655658
429,-117.85644454,33.8230048,0429,42,26,387.556732,0.60555726
430,-117.76004217,33.82017468,0430,41,29,1002.790178,1.56686452
431,-117.81866447,33.81986929,0431,42,30,291.873094,0.456048
432,-117.84817585,33.81931117,0432,42,28,137.549754,0.21492145
433,-117.84025422,33.81927526,0433,42,28,153.383612,0.23966184
434,-117.8298297,33.8196957,0434,42,28,88.091416,0.13764477
435,-117.83407144,33.818075,0435,42,28,93.570714,0.14620446
436,-117.8262551,33.81681884,0436,42,28,110.702854,0.17297123
437,-117.78999376,33.81876589,0437,41,29,258.621303,0.40409078
438,-117.77955789,33.81605487,0438,41,29,407.441791,0.63663322
439,-117.87435417,33.81501489,0439,37,16,84.953013,0.13273721
440,-117.80955084,33.81380229,0440,42,30,321.296379,0.50202365
441,-117.86819673,33.81143097,0441,42,26,206.533553,0.3227042
442,-117.85768443,33.81238992,0442,42,26,160.538258,0.25084097
443,-117.84915897,33.81404795,0443,42,27,65.579044,0.10246723
444,-117.84059705,33.81411001,0444,42,27,82.603279,0.12906761
445,-117.76511298,33.80504211,0445,41,29,305.991375,0.47810329
446,-117.77658562,33.80847707,0446,42,28,348.853427,0.5450814
447,-117.82699209,33.80805612,0447,42,28,293.235137,0.4581798
448,-117.83381645,33.80770886,0448,42,28,101.568866,0.15870132
449,-117.78752396,33.80476586,0449,42,28,485.146465,0.75804021
450,-117.87691172,33.80787855,0450,37,16,126.872267,0.19824784
451,-117.84902346,33.81069083,0451,42,27,64.703524,0.10109923
452,-117.80611615,33.80397075,0452,42,28,310.468069,0.48510826
453,-117.84043989,33.81080721,0453,42,27,77.090935,0.12045454
454,-117.79774825,33.80507402,0454,42,28,187.079818,0.29231239
455,-117.81515719,33.80692051,0455,42,30,267.683047,0.41825467
456,-117.86765616,33.80377281,0456,42,26,282.027862,0.44066616
457,-117.85738615,33.80572062,0457,42,26,146.278195,0.22855963
458,-117.84870619,33.80571809,0458,42,27,149.065055,0.2329141
459,-117.84001008,33.80573543,0459,42,27,150.925614,0.23582121
460,-117.79661839,33.79519121,0460,42,28,276.408171,0.43188938
461,-117.87408774,33.79874296,0461,42,26,127.554554,0.19930377
462,-117.77528744,33.79951305,0462,42,28,243.133901,0.37989869
463,-117.85744222,33.79875988,0463,42,26,161.136194,0.25177525
464,-117.84871246,33.79872626,0464,42,27,160.639679,0.25099944
465,-117.83999828,33.79869443,0465,42,27,160.103167,0.25016114
466,-117.83330864,33.79845963,0466,42,27,86.528524,0.13520079
467,-117.82539804,33.79701754,0467,42,28,339.144093,0.52991215
468,-117.81654606,33.79781265,0468,42,28,63.954877,0.09992926
469,-117.86614153,33.79688649,0469,42,26,75.361558,0.11775113
470,-117.76600207,33.79562383,0470,42,28,91.559187,0.14306119
471,-117.80551677,33.79321157,0471,42,28,387.269487,0.60510762
472,-117.79055974,33.79200078,0472,42,28,159.234756,0.24880651
473,-117.8939159,33.78677832,0473,42,26,301.558516,0.47118508
474,-117.88498803,33.79269559,0474,42,26,223.884359,0.34981986
475,-117.87308412,33.7915812,0475,42,26,242.285768,0.37857137
476,-117.86421899,33.7914486,0476,42,26,88.820308,0.13878169
477,-117.85745888,33.79150705,0477,42,27,160.349359,0.25054582
478,-117.78233326,33.78861973,0478,42,43,494.053392,0.77195656
479,-117.84872841,33.79148823,0479,42,27,159.523485,0.24925539
480,-117.84004408,33.79145112,0480,42,27,159.459677,0.24915568
481,-117.83331392,33.79134671,0481,42,27,86.963193,0.13587997
482,-117.81908291,33.79031799,0482,42,28,213.312541,0.33330035
483,-117.76380077,33.7892136,0483,42,43,127.895461,0.19983729
484,-117.88651314,33.78292444,0484,42,26,198.857409,0.31071242
485,-117.8745781,33.78377494,0485,42,26,331.953688,0.51867147
486,-117.85126762,33.78273095,0486,42,27,338.1827,0.52841036
487,-117.8623198,33.78305601,0487,42,26,240.258328,0.3754064
488,-117.83854026,33.78371206,0488,42,27,267.25937,0.41759266
489,-117.82462459,33.78415644,0489,42,28,231.402782,0.36156755
490,-117.81400231,33.78412265,0490,42,28,162.164437,0.25338188
491,-117.76562842,33.78292828,0491,42,43,285.435461,0.44597297
492,-117.80087275,33.78161447,0492,42,28,296.40245,0.46313061
493,-117.80747646,33.77902209,0493,42,28,123.618114,0.19315327
494,-117.83763011,33.7781656,0494,42,27,89.8564,0.14040453
495,-117.84913053,33.77682987,0495,42,27,66.44201,0.10381638
496,-117.83693141,33.77540033,0496,42,27,143.723524,0.22456428
497,-117.82470781,33.77687259,0497,42,28,233.195888,0.36436946
498,-117.81402399,33.77698404,0498,42,28,153.900463,0.24046942
499,-117.89326847,33.77669992,0499,42,26,81.744356,0.12772778
500,-118.05501344,33.84139027,0500,35,19,114.021148,0.17817023
501,-118.05305201,33.835119,0501,35,19,260.428106,0.40692285
502,-118.04048862,33.83691936,0502,35,10,81.877006,0.12793016
503,-118.03225656,33.83447209,0503,35,19,199.437464,0.31161476
504,-118.0424245,33.83387304,0504,35,19,79.552283,0.1243028
505,-118.0333415,33.82743905,0505,35,19,122.837475,0.19193852
506,-118.0589228,33.82790005,0506,35,19,167.964229,0.26243577
507,-118.05014073,33.82797613,0507,35,19,168.502344,0.26328484
508,-118.04134413,33.82804611,0508,35,19,166.516695,0.26018228
509,-118.02401727,33.82817063,0509,35,19,164.922287,0.25769083
510,-118.0592036,33.82058611,0510,35,19,161.635109,0.25255407
511,-118.0500218,33.82051228,0511,35,19,165.802094,0.25906571
512,-118.04121557,33.81988752,0512,35,19,197.04436,0.30788175
513,-118.03258414,33.82069204,0513,35,19,159.907049,0.24985469
514,-118.02393744,33.82076934,0514,35,19,165.209619,0.25813997
515,-118.05880593,33.813925,0515,35,19,187.872845,0.29355105
516,-118.03238162,33.81352264,0516,35,19,152.985388,0.23903961
517,-118.05008294,33.81285152,0517,35,19,112.674098,0.17605335
518,-118.04126135,33.81286056,0518,35,19,117.87001,0.18417185
519,-118.04574556,33.80671021,0519,35,19,316.834312,0.4950509
520,-118.03276854,33.80837164,0520,35,19,75.532653,0.11802372
521,-118.02387139,33.80824427,0521,35,19,73.131129,0.11426432
522,-118.01505831,33.80814568,0522,35,19,82.201125,0.12844294
523,-118.03273673,33.80483227,0523,35,19,78.722426,0.12300007
524,-118.02402403,33.80483345,0524,35,19,81.342931,0.12710085
525,-118.01526345,33.80462372,0525,35,19,73.745968,0.11521999
526,-118.03037308,33.79936271,0526,35,21,110.124549,0.17208002
527,-118.02399682,33.80119231,0527,35,19,77.762428,0.1215131
528,-118.01541369,33.80116945,0528,35,19,79.094124,0.12358483
529,-118.02402683,33.79752488,0529,35,19,79.881844,0.124806
530,-118.01541875,33.79750881,0530,35,19,82.935063,0.1295839
531,-118.03435661,33.78958432,0531,37,23,296.965034,0.46401339
532,-118.02412241,33.79204168,0532,35,19,159.647182,0.24944866
533,-118.01542805,33.79201022,0533,35,19,160.376425,0.25058811
534,-117.99717745,33.81278029,0534,37,22,197.327518,0.30832421
535,-117.98893096,33.81383033,0535,37,22,161.200775,0.25187615
536,-117.98020149,33.81390677,0536,37,22,160.81857,0.25127726
537,-117.99825093,33.80593977,0537,37,22,125.714434,0.19642896
538,-118.00640147,33.8082289,0538,37,22,81.515873,0.1273654
539,-117.98880569,33.80838975,0539,37,22,79.071454,0.12354864
540,-117.98012674,33.80845346,0540,37,22,80.260266,0.12540434
541,-117.97164467,33.80851056,0541,37,22,76.183586,0.11904315
542,-118.0063683,33.80463127,0542,37,22,79.359486,0.12400018
543,-117.98875506,33.80476376,0543,37,22,78.692006,0.12295646
544,-117.98006872,33.80484107,0544,37,22,81.306619,0.12704147
545,-117.97160786,33.80486821,0545,37,22,73.549496,0.11491507
546,-118.00577846,33.80120373,0546,37,24,97.023064,0.1515956
547,-117.99620166,33.79928221,0547,37,22,111.998459,0.17499755
